source_string	source_ids
Arruda et al., Emerging Infectious Diseases (2024)	2
B. Arruda communication	18
CDC communication https://www.cdc.gov/bird-flu/spotlights/ferret-study-results.html	12
Eisfeld et al 2024 PMID: 38977017	13
Erdelyan Cell Reports 2024	10
Herfst et al mSphere 2023	5
JH-CEIRR	16
Kandeil et al Nature Communications 2023; Arruda et al., Emerging Infectious Diseases (2024)	0,2
Kandeil et al Nature Communications 2023; Pulit-Penaloza et al Emerging Infectious Diseases 2022	0,1
Kim et al 2024 PMID: 39240548	11
Le Sage / Lakdawala communciation	19
M. Richard communication	17
Maemura et al eBioMedicine 2024; Restori et al Nature Comm 2024; Kwon et al EMI 2024 (PMC11132737)	3,14,15
Penn-CEIRR and Emory-CEIRR	7,8
Pulit-Penaloza et al Emerging Microbes and Infection 2024	4
Webby Communicaation	20
Webby Communication	20
Webby communciation	20
Webby communication	20
