source_id	name	url
0	Kandeil et al., Nature Communications 2023	https://www.nature.com/articles/s41467-023-38415-7
1	Pulit-Penaloza et al., Emerging Infectious Diseases 2022	https://wwwnc.cdc.gov/eid/article/28/9/22-0879_article
2	Arruda et al., Emerging Infectious Diseases 2024	https://wwwnc.cdc.gov/eid/article/30/4/23-1141_article
3	Maemura et al., eBioMedicine 2024	https://www.sciencedirect.com/science/article/pii/S2352396423003936
4	Pulit-Penaloza et. al, Emerging Microbes and Infection 2024	https://www.tandfonline.com/doi/full/10.1080/22221751.2024.2332667
5	Herfst et al., mSphere 2023	https://journals.asm.org/doi/full/10.1128/msphere.00200-23
6	CRIPT CEIRR communication	
7	Penn CEIRR communication	
8	Emory CEIRR communication	
9	St. Jude CEIRR communication	
10	Erdelyan et al., Cell Reports 2024	https://www.cell.com/cell-reports/abstract/S2211-1247(24)00808-8
11	Kim et al 2024, Emerging Infectious Diseases 2024	https://wwwnc.cdc.gov/eid/article/30/10/24-0583_article
12	CDC communication	https://www.cdc.gov/bird-flu/spotlights/ferret-study-results.html
13	Eisfeld et al., Nature 2024	https://www.nature.com/articles/s41586-024-07766-6
14	Restori et al., Nature Communications 2024	https://www.nature.com/articles/s41467-024-48475-y
15	Kwon et al., Emerging Microbes & Infections 2024	https://www.tandfonline.com/doi/10.1080/22221751.2024.2353292
16	JH-CEIRR
17	M. Richard communication
18	B. Arruda communication
19	Le Sage / Lakdawala communication
20	Webby communication
